epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,1058.66,0.9046,1.18561,0.96977,0.54065,0.33854,0.35741,0.14785,1.98879,2.53779,1.52383,0.0008516,0.0008516,0.0008516
60,1077.37,0.90234,1.24516,0.93038,0.49599,0.38542,0.35998,0.14874,2.00075,2.55562,1.53775,0.0008318,0.0008318,0.0008318
61,1096.4,0.86318,1.16795,0.97886,0.49599,0.38542,0.35998,0.14874,2.00075,2.55562,1.53775,0.000812,0.000812,0.000812
62,1115.09,0.81468,1.12442,0.92831,0.49599,0.38542,0.35998,0.14874,2.00075,2.55562,1.53775,0.0007922,0.0007922,0.0007922
63,1134.06,0.96649,1.15414,0.92517,0.56809,0.35938,0.36882,0.15106,2.02021,2.44189,1.54766,0.0007724,0.0007724,0.0007724
64,1153.31,0.97942,1.15516,0.96908,0.56809,0.35938,0.36882,0.15106,2.02021,2.44189,1.54766,0.0007526,0.0007526,0.0007526
65,1170.56,0.91102,1.13482,0.91213,0.51108,0.392,0.3736,0.15382,2.0205,2.56049,1.51123,0.0007328,0.0007328,0.0007328
66,1188.81,1.04495,1.11723,0.96654,0.51108,0.392,0.3736,0.15382,2.0205,2.56049,1.51123,0.000713,0.000713,0.000713
67,1207.58,0.88226,1.13261,0.92698,0.51108,0.392,0.3736,0.15382,2.0205,2.56049,1.51123,0.0006932,0.0006932,0.0006932
68,1226.03,0.99243,1.22287,0.93569,0.57421,0.40625,0.40328,0.16613,1.97501,2.48637,1.46327,0.0006734,0.0006734,0.0006734
69,1244.33,0.90008,1.24622,0.94203,0.57421,0.40625,0.40328,0.16613,1.97501,2.48637,1.46327,0.0006536,0.0006536,0.0006536
70,1262.91,0.87852,1.07561,0.91946,0.57421,0.40625,0.40328,0.16613,1.97501,2.48637,1.46327,0.0006338,0.0006338,0.0006338
71,1281.87,0.89642,0.98005,0.96991,0.6239,0.40104,0.41383,0.16809,1.95755,2.45545,1.43568,0.000614,0.000614,0.000614
72,1300.18,0.74954,1.05345,0.92364,0.6239,0.40104,0.41383,0.16809,1.95755,2.45545,1.43568,0.0005942,0.0005942,0.0005942
73,1318.8,0.96304,1.24881,0.96906,0.66494,0.375,0.39823,0.15942,2.02116,2.50363,1.43676,0.0005744,0.0005744,0.0005744
74,1337.54,0.81211,1.0888,0.88631,0.66494,0.375,0.39823,0.15942,2.02116,2.50363,1.43676,0.0005546,0.0005546,0.0005546
75,1356.82,0.75252,1.03432,0.89851,0.66494,0.375,0.39823,0.15942,2.02116,2.50363,1.43676,0.0005348,0.0005348,0.0005348
76,1472.92,0.9456,0.95958,0.92709,0.58672,0.375,0.38389,0.16614,2.02648,2.51442,1.44389,0.000515,0.000515,0.000515
77,1491.13,0.82492,0.98833,0.92688,0.58672,0.375,0.38389,0.16614,2.02648,2.51442,1.44389,0.0004952,0.0004952,0.0004952
78,1507.1,0.94014,1.05504,0.92674,0.58672,0.375,0.38389,0.16614,2.02648,2.51442,1.44389,0.0004754,0.0004754,0.0004754
79,1522.47,0.86019,1.09756,0.91291,0.60921,0.38542,0.40697,0.17329,2.03641,2.49227,1.47247,0.0004556,0.0004556,0.0004556
80,1537.59,0.86063,1.03657,0.95425,0.60921,0.38542,0.40697,0.17329,2.03641,2.49227,1.47247,0.0004358,0.0004358,0.0004358
81,1552.94,0.73483,1.09834,0.89939,0.64637,0.39032,0.42835,0.18177,2.00325,2.36698,1.46656,0.000416,0.000416,0.000416
82,1568.31,0.74929,0.90359,0.89231,0.64637,0.39032,0.42835,0.18177,2.00325,2.36698,1.46656,0.0003962,0.0003962,0.0003962
83,1583.69,0.72349,0.97106,0.84991,0.64637,0.39032,0.42835,0.18177,2.00325,2.36698,1.46656,0.0003764,0.0003764,0.0003764
84,1603.06,0.76478,0.94629,0.90116,0.68937,0.40456,0.44962,0.18398,2.00912,2.32333,1.47326,0.0003566,0.0003566,0.0003566
85,1622.45,0.82493,1.06515,0.91811,0.68937,0.40456,0.44962,0.18398,2.00912,2.32333,1.47326,0.0003368,0.0003368,0.0003368
86,1641.24,0.78645,0.97007,0.87046,0.68937,0.40456,0.44962,0.18398,2.00912,2.32333,1.47326,0.000317,0.000317,0.000317
87,1659.97,0.91658,1.16983,0.97043,0.67179,0.41146,0.45084,0.1823,2.02433,2.31781,1.48883,0.0002972,0.0002972,0.0002972
88,1678.61,0.77591,0.98947,0.9097,0.67179,0.41146,0.45084,0.1823,2.02433,2.31781,1.48883,0.0002774,0.0002774,0.0002774
89,1697.75,0.93334,0.96029,0.90065,0.67845,0.42188,0.45678,0.18149,2.0288,2.33374,1.50356,0.0002576,0.0002576,0.0002576
90,1716.32,0.72942,0.93053,0.873,0.67845,0.42188,0.45678,0.18149,2.0288,2.33374,1.50356,0.0002378,0.0002378,0.0002378
91,1735.07,0.77503,1.23757,0.87912,0.67845,0.42188,0.45678,0.18149,2.0288,2.33374,1.50356,0.000218,0.000218,0.000218
92,1754.11,0.75861,1.30873,0.86575,0.69288,0.40625,0.45801,0.18527,2.01959,2.34781,1.49677,0.0001982,0.0001982,0.0001982
93,1772.95,0.73862,1.20762,0.88446,0.69288,0.40625,0.45801,0.18527,2.01959,2.34781,1.49677,0.0001784,0.0001784,0.0001784
94,1791.6,0.74268,1.10593,0.85146,0.69288,0.40625,0.45801,0.18527,2.01959,2.34781,1.49677,0.0001586,0.0001586,0.0001586
95,1810.12,0.72243,1.1195,0.7958,0.68711,0.42708,0.46328,0.19173,2.00432,2.3494,1.48184,0.0001388,0.0001388,0.0001388
96,1828.7,0.82909,1.29377,0.90112,0.68711,0.42708,0.46328,0.19173,2.00432,2.3494,1.48184,0.000119,0.000119,0.000119
97,1847.33,0.66509,1.11084,0.87566,0.66363,0.44271,0.46276,0.194,1.97888,2.33987,1.46769,9.92e-05,9.92e-05,9.92e-05
98,1865.83,0.78224,1.12145,0.87661,0.66363,0.44271,0.46276,0.194,1.97888,2.33987,1.46769,7.94e-05,7.94e-05,7.94e-05
99,1884.24,0.72437,1.20922,0.87915,0.66363,0.44271,0.46276,0.194,1.97888,2.33987,1.46769,5.96e-05,5.96e-05,5.96e-05
100,1903.24,0.68535,1.0778,0.89156,0.68864,0.43775,0.46583,0.19676,1.96452,2.32551,1.45632,3.98e-05,3.98e-05,3.98e-05
